#,Company,Symbol,Weight,Price,Chg,% Chg,Dividend
106,Vertex Pharmaceuticals Incorporated,VRTX,0.22727,   244.71,-3.07,(-1.24%),0
107,CSX Corporation,CSX,0.22236,   80.28,0.11,-0.14%,0
108,Applied Materials Inc.,AMAT,0.221711,   66.07,-1.34,(-1.99%),0
109,Global Payments Inc.,GPN,0.22113,   206.33,-0.65,(-0.31%),0
110,Raytheon Company,RTN,0.219877,   220.33,-2.14,(-0.96%),0
111,Biogen Inc.,BIIB,0.219502,   334.42,-6.62,(-1.94%),0
112,Boston Scientific Corporation,BSX,0.213869,   42.51,-0.52,(-1.20%),0
113,Marsh & McLennan Companies Inc.,MMC,0.213528,   116.98,-1.5,(-1.27%),0
114,Target Corporation,TGT,0.211996,   117.80,0.41,-0.35%,0
115,Northrop Grumman Corporation,NOC,0.205117,   363.01,-3.15,(-0.86%),0
116,Air Products and Chemicals Inc.,APD,0.201149,   255.10,-0.72,(-0.28%),0
117,Aon plc,AON,0.19815,   234.10,-3.33,(-1.40%),0
118,Equinix Inc.,EQIX,0.19576,   645.56,1.84,-0.29%,0
119,Illinois Tool Works Inc.,ITW,0.195503,   189.96,2.43,-1.30%,0
120,Norfolk Southern Corporation,NSC,0.194534,   209.79,0.62,-0.29%,0
121,Charles Schwab Corporation,SCHW,0.193443,   48.49,1.05,-2.22%,0
122,Intercontinental Exchange Inc.,ICE,0.189394,   94.97,-0.45,(-0.47%),0
123,Ecolab Inc.,ECL,0.187475,   206.30,-4.01,(-1.91%),0
124,Deere & Company,DE,0.184846,   166.11,1.18,-0.72%,0
125,American Electric Power Company Inc.,AEP,0.182338,   102.43,-1.07,(-1.03%),0
126,Humana Inc.,HUM,0.178809,   370.88,-7.64,(-2.02%),0
127,L3Harris Technologies Inc,LHX,0.178034,   224.35,-1.63,(-0.72%),0
128,Kimberly-Clark Corporation,KMB,0.175812,   142.61,-1.17,(-0.81%),0
129,Activision Blizzard Inc.,ATVI,0.175464,   63.24,-1.13,(-1.76%),0
130,Waste Management Inc.,WM,0.174066,   123.77,-1.46,(-1.17%),0
131,Edwards Lifesciences Corporation,EW,0.17396,   232.86,-2.45,(-1.04%),0
132,Capital One Financial Corporation,COF,0.172848,   103.48,-0.66,(-0.63%),0
133,Sherwin-Williams Company,SHW,0.17214,   582.70,-6.35,(-1.08%),0
134,Lam Research Corporation,LRCX,0.171813,   327.23,-6.62,(-1.98%),0
135,Exelon Corporation,EXC,0.171368,   49.82,0.22,-0.43%,0
136,Progressive Corporation,PGR,0.169781,   81.24,-0.18,(-0.22%),0
137,Baxter International Inc.,BAX,0.169345,   92.99,-0.17,(-0.18%),0
138,Schlumberger NV,SLB,0.16931,   33.92,-0.38,(-1.09%),0
139,Estee Lauder Companies Inc. Class A,EL,0.16917,   210.19,-2.93,(-1.37%),0
140,Moody's Corporation,MCO,0.165259,   277.82,-7.49,(-2.63%),0
141,Autodesk Inc.,ADSK,0.164713,   205.87,-4.89,(-2.32%),0
142,Analog Devices Inc.,ADI,0.162986,   123.37,-0.52,(-0.42%),0
143,Sempra Energy,SRE,0.160603,   159.77,0.04,-0.03%,0
144,EOG Resources Inc.,EOG,0.16035,   75.91,-1.37,(-1.77%),0
145,Illumina Inc.,ILMN,0.158943,   299.54,-3.66,(-1.21%),0
146,Ross Stores Inc.,ROST,0.15851,   122.94,0,0.00%,0
147,Emerson Electric Co.,EMR,0.156771,   72.37,0.51,-0.71%,0
148,General Motors Company,GM,0.156224,   35.31,0.39,-1.12%,0
149,General Dynamics Corporation,GD,0.155421,   186.01,-0.55,(-0.29%),0
150,Eaton Corp. Plc,ETN,0.153805,   105.23,0.92,-0.88%,0
151,Kinder Morgan Inc Class P,KMI,0.152761,   22.30,0.14,-0.63%,0
152,American International Group Inc.,AIG,0.152577,   49.73,0.32,-0.65%,0
153,Simon Property Group Inc.,SPG,0.149812,   139.74,2.73,-1.99%,0
154,Dollar General Corporation,DG,0.148617,   165.04,1.25,-0.76%,0
155,MetLife Inc.,MET,0.144387,   52.05,0.26,-0.50%,0
156,Allstate Corporation,ALL,0.143577,   123.71,-0.55,(-0.44%),0
157,Roper Technologies Inc.,ROP,0.143363,   384.29,-3.68,(-0.95%),0
158,Marriott International Inc. Class A,MAR,0.142763,   146.52,-1.11,(-0.75%),0
159,HCA Healthcare Inc,HCA,0.14176,   148.25,-1.83,(-1.22%),0
160,DuPont de Nemours Inc.,DD,0.141714,   52.31,-1.19,(-2.22%),0
161,Phillips 66,PSX,0.13993,   89.56,1.2,-1.35%,0
162,Centene Corporation,CNC,0.139392,   65.69,-1.68,(-2.49%),0
163,Walgreens Boots Alliance Inc,WBA,0.139236,   52.04,-0.03,(-0.06%),0
164,Sysco Corporation,SYY,0.139199,   76.65,0.45,-0.58%,0
165,Bank of New York Mellon Corporation,BK,0.137445,   45.84,-0.08,(-0.17%),0
166,FedEx Corporation,FDX,0.136936,   163.56,2.42,-1.50%,0
167,Occidental Petroleum Corporation,OXY,0.135016,   42.83,0.32,-0.75%,0
168,Aflac Incorporated,AFL,0.134873,   51.40,-0.15,(-0.29%),0
169,Cognizant Technology Solutions Corporation Class A,CTSH,0.134396,   69.03,0.16,-0.23%,0
170,Newmont Corporation,NEM,0.134246,   48.49,2.32,-5.02%,0
171,Marathon Petroleum Corporation,MPC,0.133606,   59.92,2.23,-3.86%,0
172,Prudential Financial Inc.,PRU,0.133229,   93.46,0.36,-0.39%,0
173,Xcel Energy Inc.,XEL,0.132178,   70.63,-0.16,(-0.23%),0
174,Welltower Inc.,WELL,0.126421,   87.49,-0.25,(-0.28%),0
175,Dow Inc.,DOW,0.125818,   47.97,0.41,-0.85%,0
176,Ingersoll-Rand Plc,IR,0.125144,   145.51,-0.32,(-0.22%),0
177,Travelers Companies Inc.,TRV,0.124432,   133.71,-0.8,(-0.59%),0
178,Constellation Brands Inc. Class A,STZ,0.122933,   206.53,-0.11,(-0.05%),0
179,Valero Energy Corporation,VLO,0.121826,   83.89,0.66,-0.79%,0
180,Delta Air Lines Inc.,DAL,0.120529,   58.57,0.06,-0.10%,0
181,HP Inc.,HPQ,0.118349,   22.76,0.33,-1.47%,0
182,Zimmer Biomet Holdings Inc.,ZBH,0.117398,   159.11,-0.91,(-0.57%),0
183,T. Rowe Price Group,TROW,0.116399,   137.65,-1.42,(-1.02%),0
184,SBA Communications Corp. Class A,SBAC,0.116375,   288.06,-1.8,(-0.62%),0
185,Public Storage,PSA,0.116218,   220.17,1.37,-0.63%,0
186,IHS Markit Ltd.,INFO,0.115835,   80.27,-0.85,(-1.04%),0
187,Johnson Controls International plc,JCI,0.115474,   42.22,0.25,-0.60%,0
188,General Mills Inc.,GIS,0.11477,   53.74,0.5,-0.93%,0
189,WEC Energy Group Inc,WEC,0.114348,   102.13,-0.28,(-0.27%),0
190,Electronic Arts Inc.,EA,0.114225,   108.11,-1.67,(-1.52%),0
191,Yum! Brands Inc.,YUM,0.114052,   103.46,-1.73,(-1.64%),0
192,Regeneron Pharmaceuticals Inc.,REGN,0.114024,   397.10,-3.72,(-0.93%),0
193,Motorola Solutions Inc.,MSI,0.113736,   184.55,-1.57,(-0.84%),0
194,Hilton Worldwide Holdings Inc,HLT,0.113394,   111.91,-0.76,(-0.67%),0
195,TransDigm Group Incorporated,TDG,0.113371,   632.38,-8.89,(-1.39%),0
