Company,Symbol,Price,Dividend
Cintas Corporation,CTAS,297.44,0
Ball Corporation,BLL,76.45,0
ResMed Inc.,RMD,174.58,0
American Water Works Company Inc.,AWK,137.13,0
IDEXX Laboratories Inc.,IDXX,281.92,0
Synopsys Inc.,SNPS,153.05,0
Archer-Daniels-Midland Company,ADM,44.14,0
Stanley Black & Decker Inc.,SWK,162.05,0
Cerner Corporation,CERN,76.10,0
Hershey Company,HSY,159.37,0
Chipotle Mexican Grill Inc.,CMG,922.00,0
Discover Financial Services,DFS,75.45,0
Kroger Co.,KR,29.56,0
Corteva Inc,CTVA,31.74,0
Pioneer Natural Resources Company,PXD,141.97,0
Las Vegas Sands Corp.,LVS,67.37,0
Aptiv PLC,APTV,90.73,0
Rockwell Automation Inc.,ROK,204.03,0
Alexion Pharmaceuticals Inc.,ALXN,101.91,0
Xilinx Inc.,XLNX,89.72,0
Tyson Foods Inc. Class A,TSN,78.58,0
Ameriprise Financial Inc.,AMP,179.66,0
AMETEK Inc.,AME,100.34,0
Fortive Corp.,FTV,76.85,0
Weyerhaeuser Company,WY,30.82,0
Cadence Design Systems Inc.,CDNS,76.86,0
M&T Bank Corporation,MTB,169.11,0
VeriSign Inc.,VRSN,208.83,0
Northern Trust Corporation,NTRS,103.32,0
Ventas Inc.,VTR,61.92,0
Fastenal Company,FAST,38.84,0
Dollar Tree Inc.,DLTR,92.60,0
Corning Inc,GLW,27.93,0
Copart Inc.,CPRT,96.42,0
CBRE Group Inc. Class A,CBRE,63.70,0
Republic Services Inc.,RSG,98.86,0
LyondellBasell Industries NV,LYB,83.10,0
Fifth Third Bancorp,FITB,29.84,0
Essex Property Trust Inc.,ESS,324.80,0
Hartford Financial Services Group Inc.,HIG,57.73,0
Ameren Corporation,AEE,85.80,0
Boston Properties Inc.,BXP,146.32,0
D.R. Horton Inc.,DHI,61.98,0
Best Buy Co. Inc.,BBY,91.13,0
Clorox Company,CLX,164.11,0
Western Digital Corporation,WDC,68.58,0
Skyworks Solutions Inc.,SWKS,117.29,0
Align Technology Inc.,ALGN,270.63,0
Arthur J. Gallagher & Co.,AJG,107.39,0
McCormick & Company Incorporated,MKC,163.33,0
Synchrony Financial,SYF,33.63,0
CDW Corp.,CDW,137.37,0
Lennar Corporation Class A,LEN,70.75,0
First Republic Bank,FRC,117.62,0
Halliburton Company,HAL,22.05,0
Alexandria Real Estate Equities Inc.,ARE,168.89,0
Equifax Inc.,EFX,160.36,0
KeyCorp,KEY,19.95,0
CMS Energy Corporation,CMS,68.42,0
ViacomCBS Inc. Class B,VIAC,29.50,0
Royal Caribbean Cruises Ltd.,RCL,110.19,0
Hewlett Packard Enterprise Co.,HPE,14.55,0
Mettler-Toledo International Inc.,MTD,754.86,0
Laboratory Corporation of America Holdings,LH,189.70,0
Church & Dwight Co. Inc.,CHD,75.85,0
Keysight Technologies Inc,KEYS,97.97,0
Teleflex Incorporated,TFX,383.28,0
Healthpeak Properties Inc.,PEAK,37.12,0
Vulcan Materials Company,VMC,134.65,0
Kansas City Southern,KSU,175.51,0
Freeport-McMoRan Inc.,FCX,12.10,0
Cardinal Health Inc.,CAH,59.21,0
Cooper Companies Inc.,COO,355.27,0
United Airlines Holdings Inc.,UAL,79.92,0
Carnival Corporation,CCL,42.65,0
Maxim Integrated Products Inc.,MXIM,62.34,0
Cincinnati Financial Corporation,CINF,111.97,0
Omnicom Group Inc,OMC,78.36,0
Dover Corporation,DOV,118.90,0
Ulta Beauty Inc,ULTA,299.33,0
Fortinet Inc.,FTNT,117.56,0
Kraft Heinz Company,KHC,27.51,0
Evergy Inc.,EVRG,73.44,0
Expedia Group Inc.,EXPE,121.53,0
International Paper Company,IP,42.88,0
Akamai Technologies Inc.,AKAM,101.18,0
MGM Resorts International,MGM,32.10,0
Citizens Financial Group Inc.,CFG,38.65,0
CarMax Inc.,KMX,101.99,0
Amcor PLC,AMCR,10.30,0
Kellogg Company,K,65.53,0
Concho Resources Inc.,CXO,81.46,0
Hess Corporation,HES,64.34,0
Mid-America Apartment Communities Inc.,MAA,146.13,0
Leidos Holdings Inc.,LDOS,118.50,0
Martin Marietta Materials Inc.,MLM,257.25,0
Paycom Software Inc.,PAYC,309.28,0
Regions Financial Corporation,RF,16.45,0
Xylem Inc.,XYL,88.71,0
Quest Diagnostics Incorporated,DGX,113.05,0
Citrix Systems Inc.,CTXS,119.34,0
Garmin Ltd.,GRMN,99.80,0
Darden Restaurants Inc.,DRI,120.20,0
UDR Inc.,UDR,50.61,0
Incyte Corporation,INCY,82.05,0
Huntington Bancshares Incorporated,HBAN,14.11,0
Nucor Corporation,NUE,47.80,0
AmerisourceBergen Corporation,ABC,95.16,0
Principal Financial Group Inc.,PFG,55.97,0
Genuine Parts Company,GPC,99.45,0
Conagra Brands Inc.,CAG,29.84,0
Tiffany & Co.,TIF,134.18,0
International Flavors & Fragrances Inc.,IFF,133.06,0
Westinghouse Air Brake Technologies Corporation,WAB,79.23,0
Old Dominion Freight Line Inc.,ODFL,225.54,0
Atmos Energy Corporation,ATO,119.45,0
STERIS Plc,STE,168.00,0
Hologic Inc.,HOLX,52.35,0
Duke Realty Corporation,DRE,38.46,0
Broadridge Financial Solutions Inc.,BR,119.57,0
Alliant Energy Corp,LNT,59.39,0
Waters Corporation,WAT,216.78,0
FMC Corporation,FMC,108.38,0
Loews Corporation,L,53.87,0
SVB Financial Group,SIVB,269.16,0
AES Corporation,AES,20.74,0
NVR Inc.,NVR, 3,0
Lamb Weston Holdings Inc.,LW,94.42,0
Jacobs Engineering Group Inc.,J,101.76,0
Gartner Inc.,IT,154.31,0
Extra Space Storage Inc.,EXR,106.06,0
W.W. Grainger Inc.,GWW,308.69,0
Baker Hughes Company Class A,BKR,20.68,0
Cboe Global Markets Inc,CBOE,122.30,0
Nasdaq Inc.,NDAQ,114.45,0
